Age group,Term,Freq
45 - 54,"""eczema"" (18.17%)",-0.869843275
55 - 65,"""eczema"" (18.17%)",0.005655678
16 - 24,"""eliminate"" (2.35%)",-0.037061946
25 - 34,"""eliminate"" (2.35%)",0.633253293
35 - 44,"""eliminate"" (2.35%)",-0.491146462
45 - 54,"""eliminate"" (2.35%)",-0.296538812
55 - 65,"""eliminate"" (2.35%)",-0.037061946
16 - 24,"""enjoy"" (11.59%)",0.193258126
25 - 34,"""enjoy"" (11.59%)",0.195942266
35 - 44,"""enjoy"" (11.59%)",-0.370411408
45 - 54,"""enjoy"" (11.59%)",0.276466485
55 - 65,"""enjoy"" (11.59%)",-0.150311876
16 - 24,"""environment"" (1.89%)",0.515805719
25 - 34,"""environment"" (1.89%)",-0.22939626
35 - 44,"""environment"" (1.89%)",0.211427446
45 - 54,"""environment"" (1.89%)",0.085477816
55 - 65,"""environment"" (1.89%)",-0.869640213
16 - 24,"""essential"" (5.35%)",0.126491106
25 - 34,"""essential"" (5.35%)",0.758946638
35 - 44,"""essential"" (5.35%)",0.383426166
45 - 54,"""essential"" (5.35%)",-0.664078309
55 - 65,"""essential"" (5.35%)",-0.964494686
16 - 24,"""esthetician"" (1.80%)",0.226778684
25 - 34,"""esthetician"" (1.80%)",0.604743157
35 - 44,"""esthetician"" (1.80%)",-0.10394023
45 - 54,"""esthetician"" (1.80%)",-0.614192269
55 - 65,"""esthetician"" (1.80%)",-0.529150262
16 - 24,"""excellent"" (30.00%)",-1.251488233
25 - 34,"""excellent"" (30.00%)",-0.825515414
35 - 44,"""excellent"" (30.00%)",-0.038787211
45 - 54,"""excellent"" (30.00%)",0.91887932
55 - 65,"""excellent"" (30.00%)",1.202060283
16 - 24,"""excited"" (10.37%)",1.585238843
25 - 34,"""excited"" (10.37%)",0.518984323
35 - 44,"""excited"" (10.37%)",-0.304995526
45 - 54,"""excited"" (10.37%)",-0.720674913
55 - 65,"""excited"" (10.37%)",-0.780936125
16 - 24,"""exfoliate"" (10.97%)",1.121678279
25 - 34,"""exfoliate"" (10.97%)",0.762563889
35 - 44,"""exfoliate"" (10.97%)",-0.019950799
45 - 54,"""exfoliate"" (10.97%)",-0.975372417
55 - 65,"""exfoliate"" (10.97%)",-0.7669974
16 - 24,"""extra"" (21.66%)",0.817778724
25 - 34,"""extra"" (21.66%)",0.677485307
35 - 44,"""extra"" (21.66%)",0.402893917
45 - 54,"""extra"" (21.66%)",-0.89811769
55 - 65,"""extra"" (21.66%)",-1.206283573
16 - 24,"""extreme"" (3.11%)",0.810452279
25 - 34,"""extreme"" (3.11%)",0.124229911
35 - 44,"""extreme"" (3.11%)",-0.461425385
45 - 54,"""extreme"" (3.11%)",0.325364053
55 - 65,"""extreme"" (3.11%)",-0.632980977
16 - 24,"""facewash"" (3.04%)",-0.070478733
25 - 34,"""facewash"" (3.04%)",-0.290085506
35 - 44,"""facewash"" (3.04%)",-0.141174064
45 - 54,"""facewash"" (3.04%)",0.934297465
55 - 65,"""facewash"" (3.04%)",0.116036609
16 - 24,"""facial cleanser"" (14.38%)",1.422380034
25 - 34,"""facial cleanser"" (14.38%)",0.481899246
35 - 44,"""facial cleanser"" (14.38%)",-0.32385702
45 - 54,"""facial cleanser"" (14.38%)",-0.367901575
55 - 65,"""facial cleanser"" (14.38%)",-1.023388185
16 - 24,"""facial cream"" (1.69%)",0.971836749
25 - 34,"""facial cream"" (1.69%)",0.681718309
35 - 44,"""facial cream"" (1.69%)",-0.373712567
45 - 54,"""facial cream"" (1.69%)",-0.708849385
55 - 65,"""facial cream"" (1.69%)",-0.928939236
16 - 24,"""facial lotion"" (2.14%)",0.789332856
25 - 34,"""facial lotion"" (2.14%)",-0.155047525
35 - 44,"""facial lotion"" (2.14%)",0.119809451
45 - 54,"""facial lotion"" (2.14%)",-0.169142755
55 - 65,"""facial lotion"" (2.14%)",-0.817523315
16 - 24,"""facial moisturizer"" (6.39%)",1.012703403
25 - 34,"""facial moisturizer"" (6.39%)",0.50901671
35 - 44,"""facial moisturizer"" (6.39%)",-0.163898051
45 - 54,"""facial moisturizer"" (6.39%)",-0.890112991
55 - 65,"""facial moisturizer"" (6.39%)",-0.932753134
16 - 24,"""fan"" (23.26%)",0.662665589
25 - 34,"""fan"" (23.26%)",0.875088008
35 - 44,"""fan"" (23.26%)",0.218194767
45 - 54,"""fan"" (23.26%)",-0.745787405
55 - 65,"""fan"" (23.26%)",-1.198339515
16 - 24,"""fancy"" (2.53%)",1.306615102
25 - 34,"""fancy"" (2.53%)",0.363687266
35 - 44,"""fancy"" (2.53%)",-0.50066325
45 - 54,"""fancy"" (2.53%)",-0.602813765
55 - 65,"""fancy"" (2.53%)",-0.547809642
16 - 24,"""fantastic"" (15.23%)",0.256241898
25 - 34,"""fantastic"" (15.23%)",0.101999202
35 - 44,"""fantastic"" (15.23%)",0.644336423
45 - 54,"""fantastic"" (15.23%)",-0.15175491
55 - 65,"""fantastic"" (15.23%)",-1.276233919
16 - 24,"""favorite"" (37.92%)",0.548165577
25 - 34,"""favorite"" (37.92%)",0.640503628
35 - 44,"""favorite"" (37.92%)",0.255028905
45 - 54,"""favorite"" (37.92%)",-0.288739622
55 - 65,"""favorite"" (37.92%)",-1.468614727
16 - 24,"""fine lines"" (17.22%)",1.058257013
25 - 34,"""fine lines"" (17.22%)",0.958525985
35 - 44,"""fine lines"" (17.22%)",0.006925766
45 - 54,"""fine lines"" (17.22%)",-0.991769661
55 - 65,"""fine lines"" (17.22%)",-1.030553949
16 - 24,"""firming"" (3.31%)",0.492331634
25 - 34,"""firming"" (3.31%)",0.044183608
35 - 44,"""firming"" (3.31%)",-0.012623888
45 - 54,"""firming"" (3.31%)",-0.195670265
55 - 65,"""firming"" (3.31%)",-0.315597202
16 - 24,"""flawless"" (3.44%)",1.204240872
25 - 34,"""flawless"" (3.44%)",0.798159648
35 - 44,"""flawless"" (3.44%)",-0.105021006
45 - 54,"""flawless"" (3.44%)",-0.742148445
55 - 65,"""flawless"" (3.44%)",-1.120224067
16 - 24,"""foam"" (17.86%)",1.076233669
25 - 34,"""foam"" (17.86%)",1.00888965
35 - 44,"""foam"" (17.86%)",0.006353209
